School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 219 - BROOKLYN,K,18,WATER INFILTRATION/ROOFS/EXT MASONRY/PARAPETS,18388000,CIP,K219,1060 CLARKSON AVENUE,Brooklyn,11212,BROOKLYN,40.659288,-73.922919,17,41,886,3101168,3046480001,Rugby-Remsen Village,"(40.659288, -73.922919)",02/06/2019
I.S. 220 - BROOKLYN,K,20,FY18 RESO A AUDITORIUM  UPGRADE,220331,CIP,K220,4812 9TH AVENUE,Brooklyn,11220,BROOKLYN,40.640545,-74.000731,12,38,108,3012824,3007780023,Sunset Park East,"(40.640545, -74.000731)",02/06/2019
URBN ASSY SCHL CRIM JUSTICE -,K,20,SCIENCE LAB UPGRADE,1218000,CIP,K223,4200 16 AVENUE,Brooklyn,11204,BROOKLYN,40.634875,-73.981528,12,44,230,3125676,3053620021,Borough Park,"(40.634875, -73.981528)",02/06/2019
I.S. 227 - BROOKLYN,K,20,WATER PENETRATION/ROOFS/EXT MASONRY/PARAPETS,6477000,CIP,K227,6500 16 AVENUE,Brooklyn,11204,BROOKLYN,40.62191,-73.995022,11,38,250,3133741,3055510018,Bensonhurst West,"(40.62191, -73.995022)",02/06/2019
P.S. 230 - BROOKLYN,K,15,ELECTRICAL WORK FOR A/C INITIATIVE,864680,CIP,K230,1 ALBEMARLE ROAD,Brooklyn,11218,BROOKLYN,40.645017,-73.980761,12,39,498,3124109,3053230032,Kensington-Ocean Parkway,"(40.645017, -73.980761)",02/06/2019
EAST FLATBUSH COMMUNITY RESCH,K,18,PARAPETS/EXTERIOR MASONRY/ROOFS,6600000,CIP,K232,905 WINTHROP STREET,Brooklyn,11203,BROOKLYN,40.65843,-73.929076,17,41,880,3099733,3046060025,Prospect Lefferts Gardens-Wingate,"(40.65843, -73.929076)",02/06/2019
P.S. 233 - BROOKLYN,K,18,MASONRY/CORRODED BEAMS/ROOFS/PARAPETS,6285000,CIP,K233,9301 AVENUE B,Brooklyn,11236,BROOKLYN,40.651022,-73.91402,17,42,930,3104990,3047530001,Rugby-Remsen Village,"(40.651022, -73.91402)",02/06/2019
P.S. 236 - BROOKLYN,K,22,EXT MASONRY/ROOFS/PARAPETS/FLOOD/TCU/IRON FENCE,16321000,CIP,K236,6302 AVENUE U,Brooklyn,11234,BROOKLYN,40.615998,-73.912989,18,46,698,3326821,3084640001,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.615998, -73.912989)",02/06/2019
P.S. 236 - BROOKLYN,K,22,FY18 RESO A ELECTRICAL SYSTEMS,204934,CIP,K236,6302 AVENUE U,Brooklyn,11234,BROOKLYN,40.615998,-73.912989,18,46,698,3326821,3084640001,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.615998, -73.912989)",02/06/2019
THE BROOKLYN SCHOOL OF INQUIRY,K,21,RESO A ROOFTOP GREENHOUSE,2947000,CIP,K237,50 AVENUE P,Brooklyn,11204,BROOKLYN,40.60731,-73.986595,11,44,428,3396829,3066180001,Bensonhurst East,"(40.60731, -73.986595)",02/06/2019
P.S. 238 - BROOKLYN,K,21,EXTERIOR MASONRY/PARAPETS,6960000,CIP,K238,1633 EAST 8 STREET,Brooklyn,11223,BROOKLYN,40.608862,-73.965058,15,44,420,3176229,3066400013,Homecrest,"(40.608862, -73.965058)",02/06/2019
P.S. 249 - BROOKLYN,K,17,LOW VOLT/PLANYC CLIMATE CTRL/PLANYC BOILER CONV,7867000,CIP,K249,18 MARLBOROUGH ROAD,Brooklyn,11226,BROOKLYN,40.64971,-73.966046,14,40,506,3116438,3050750001,Flatbush,"(40.64971, -73.966046)",02/06/2019
MIDDLE SCHOOL FOR ART & PHILOS,K,18,EXTERIOR MASONRY/PARAPETS/ROOFS,11725000,CIP,K252,1084 LENOX ROAD,Brooklyn,11212,BROOKLYN,40.658295,-73.920109,17,41,886,3101840,3046690037,Rugby-Remsen Village,"(40.658295, -73.920109)",02/06/2019
P.S. 253 - BROOKLYN,K,21,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,7638000,CIP,K253,601 OCEANVIEW AVENUE,Brooklyn,11235,BROOKLYN,40.579607,-73.962071,13,48,364,3244470,3086660610,Brighton Beach,"(40.579607, -73.962071)",02/06/2019
P.S. 257 - BROOKLYN,K,14,FY18 RESO A AUDITORIUM UPGRADE,197500,CIP,K257,60 COOK STREET,Brooklyn,11206,BROOKLYN,40.702392,-73.941801,1,34,491,3071571,3031140011,East Williamsburg,"(40.702392, -73.941801)",02/06/2019
I.S. 259 - BROOKLYN,K,20,PLANYC BOILER CONVERSION/CLIMATE CTRL,6758000,CIP,K259,7305 FT HAMILTON PKWY,Brooklyn,11228,BROOKLYN,40.62668,-74.01512,10,43,206,3148031,3059230001,Dyker Heights,"(40.62668, -74.01512)",02/06/2019
I.S. 265 - BROOKLYN,K,13,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5359400,CIP,K265,101 PARK AVENUE,Brooklyn,11205,BROOKLYN,40.696324,-73.97578,2,35,211,3057942,3020280001,Fort Greene,"(40.696324, -73.97578)",02/06/2019
P.S. 269 - BROOKLYN,K,22,FY18 RESO A AUDITORIUM  UPGRADE,77286,CIP,K269,1957 NOSTRAND AVENUE,Brooklyn,11210,BROOKLYN,40.637711,-73.948159,17,45,788,3113780,3049940023,Flatbush,"(40.637711, -73.948159)",02/06/2019
